2926743123,1698,5,-192438,-171,0
2926743123,1698,-5,192438,171,1
2926718592,198,2,1363667,-46,0
2926718592,198,-2,-1363667,46,1
2926627787,2172,12,82975,250,0
2926627787,2172,-12,-82975,-250,1
2926449374,1896,-3,184074,449,1
2926449374,1896,3,-184074,-449,0
2926286373,1894,-6,-135070,222,0
2926286373,1894,6,135070,-222,1
2925779862,1777,-2,-108779,-736,1
2925779862,1777,2,108779,736,0
2925738881,2010,0,610098,462,0
2925738881,2010,0,-610098,-462,1
2923608116,2293,4,-95518,-302,0
2923608116,2293,-4,95518,302,1
2926743123,1698,5,-192438,-171,0
2926743123,1698,-5,192438,171,1
2926718592,198,2,1363667,-46,0
2926718592,198,-2,-1363667,46,1
2926627787,2172,12,82975,250,0
2926627787,2172,-12,-82975,-250,1
2926449374,1896,-3,184074,449,1
2926449374,1896,3,-184074,-449,0
2926743123,1698,5,-192438,-171,0
2926743123,1698,-5,192438,171,1
2926718592,198,2,1363667,-46,0
2926718592,198,-2,-1363667,46,1
2926743123,1698,5,-192438,-171,0
2926743123,1698,-5,192438,171,1
2926718592,198,2,1363667,-46,0
2926718592,198,-2,-1363667,46,1
2926743123,1698,5,-192438,-171,0
2926743123,1698,-5,192438,171,1
2926718592,198,2,1363667,-46,0
2926718592,198,-2,-1363667,46,1
2926743123,1698,5,-192438,-171,0
2926743123,1698,-5,192438,171,1
2926718592,198,2,1363667,-46,0
2926718592,198,-2,-1363667,46,1
2926743123,1698,5,-192438,-171,0
2926743123,1698,-5,192438,171,1
2926718592,198,2,1363667,-46,0
2926718592,198,-2,-1363667,46,1
2926743123,1698,5,-192438,-171,0
2926743123,1698,-5,192438,171,1
2926718592,198,2,1363667,-46,0
2926718592,198,-2,-1363667,46,1
2926743123,1698,5,-192438,-171,0
2926743123,1698,-5,192438,171,1
2926718592,198,2,1363667,-46,0
2926718592,198,-2,-1363667,46,1
2926758954,2215,1,113378,61,0
2926758954,2215,-1,-113378,-61,1
2926743123,1698,5,-192438,-171,0
2926743123,1698,-5,192438,171,1
2926743123,1698,5,-192438,-171,0
2926743123,1698,-5,192438,171,1
2926798413,558,-15,-330513,173,0
2926798413,558,15,330513,-173,1
2926743123,1698,5,-192438,-171,0
2926743123,1698,-5,192438,171,1
2926743123,1698,5,-192438,-171,0
2926743123,1698,-5,192438,171,1
2926784117,1810,0,290829,373,0
2926784117,1810,0,-290829,-373,1
2926748999,1992,0,-147240,-191,0
2926748999,1992,0,147240,191,1
2926795136,2304,0,-11952,-58,1
2926795136,2304,0,11952,58,0
2926780355,2031,2,-23961,806,0
2926780355,2031,-2,23961,-806,1
